                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.85828,                0.41064,                0.78996,                0.91925,                0.73907,                0.80918,                 0.5503,                0.81574,                0.41351,                0.79059,             0.00081688,             0.00081688,             0.00081688
                     37,                0.82604,                0.40107,                0.78678,                0.86316,                0.76709,                0.81022,                0.56873,                0.78668,                0.42392,                0.78771,              0.0008045,              0.0008045,              0.0008045
                     38,                0.82567,                0.39622,                0.78623,                0.94256,                0.72585,                0.80323,                 0.5511,                0.77298,                0.41318,                0.78926,             0.00079213,             0.00079213,             0.00079213
                     39,                0.83818,                0.39825,                 0.7874,                0.84321,                0.71986,                0.77978,                0.54422,                0.77319,                0.40398,                0.79001,             0.00077975,             0.00077975,             0.00077975
                     40,                0.84798,                0.39679,                0.78637,                 0.8982,                0.75916,                0.83139,                0.57662,                0.78313,                0.39666,                0.78805,             0.00076738,             0.00076738,             0.00076738
                     41,                0.83984,                0.41053,                0.78607,                0.85766,                0.72229,                 0.7976,                0.52888,                  0.822,                0.42557,                0.79038,               0.000755,               0.000755,               0.000755
                     42,                0.85429,                0.41453,                0.78478,                0.92667,                0.73562,                0.81162,                0.56085,                0.80203,                 0.4149,                0.79133,             0.00074263,             0.00074263,             0.00074263
                     43,                0.84001,                0.40171,                0.78912,                0.92835,                 0.7651,                0.80804,                0.56243,                0.81632,                0.40776,                0.79029,             0.00073025,             0.00073025,             0.00073025
                     44,                0.83204,                0.39758,                0.78557,                0.91511,                0.75771,                0.82056,                0.54828,                0.81026,                0.39608,                0.78997,             0.00071788,             0.00071788,             0.00071788
                     45,                0.79604,                 0.3812,                0.78372,                0.88958,                0.73211,                0.78788,                0.55661,                0.78308,                 0.3915,                0.78945,              0.0007055,              0.0007055,              0.0007055
                     46,                0.80797,                 0.3855,                0.78394,                0.91913,                0.74656,                0.80795,                0.57511,                0.75526,                0.39985,                0.78847,             0.00069313,             0.00069313,             0.00069313
